College_Name,Location_City,Location_State,Campus_Area,Accreditation_Body,Affiliation_University,Year_of_Establishment,National_Ranking,International_Ranking,Number_of_Faculties,Number_of_Departments,Website_URL,Program_Name,Eligibility_Criteria,Required_Entrance_Exam,Minimum_Exam_Score,Application_Start_Date,Application_End_Date,Admission_Quota_Type,Reservation_Category,Application_Fees,Application_Mode,Document_Required,Counseling_Start_Date,Counseling_End_Date,Tuition_Fees_Annual,Hostel_Fees_Annual,Lab_Fees_Annual,Miscellaneous_Fees,Total_Fees,Scholarship_Name,Scholarship_Eligibility,Scholarship_Amount,Financial_Aid_Options,Installment_Availability,Loan_Partners,Payment_Methods,Course_Duration_Years,Core_Subjects,Elective_Subjects,Faculty_Qualification,Faculty_Experience_Years,Teaching_Methods,Average_Class_Size,Academic_Calendar_Start,Academic_Calendar_End,Exam_Schedule,Average_CGPA,Research_Opportunities_Available,Internship_Availability,Placement_Year,Placement_Rate_Overall,Placement_Rate_By_Department,Top_Recruiters,Average_Salary_Overall,Average_Salary_By_Department,Highest_Salary_Overall,Highest_Salary_By_Department,Internship_Partners,Internship_Conversion_Rate,Total_Number_of_Classrooms,Total_Number_of_Labs,Library_Books_Available,Library_Digital_Resources,Hostel_Capacity,Sports_Facilities_Available,Gym_Available,Auditorium_Capacity,WiFi_Availability,Canteen_Capacity,Number_of_Smart_Classrooms,Medical_Facilities_Available,Accessibility_Features,Counseling_Services_Available,Mentorship_Programs_Available,Clubs_and_Societies_Available,Cultural_Events_Frequency,On_Campus_Accommodation_Available,Student_Exchange_Programs_Available,Alumni_Network_Size,Alumni_Notable_Names,Campus_Safety_Rating,Emergency_Protocols,Part-time_Job_Opportunities_Available,Department_Name,Specializations_Offered,Departmental_Achievements,Lab_Specific_Facilities,Industry_Collaborations_Available,Departmental_Events_Frequency,Number_of_International_Students,Country_of_Origin,Admission_Process_International,Visa_Assistance_Available,Cultural_Integration_Programs_Available,Language_Support_Available,International_Student_Housing_Available,Entrepreneurship_Support_Available,Incubation_Center_Available,Part-time_Job_Opportunities_International_Students,Study_Abroad_Programs_Available,Dual_Degree_Programs_Available,Community_Service_Programs_Available
Osborne Inc,Levytown,Montana,23,AICTE,Moore-Hickman University,2010,434,268,289,40,https://harrell-meyer.org/,Engineering,Entrance Exam,JEE,85,02-07-2024,13-07-2024,General,General,888,Online,Marksheet,23-07-2024,25-02-2024,394212,20687,39479,6541,211701,With Scholarship,Merit-Based,66290,No,Yes,"Evans, Herrera and Lawson",UPI,1,Adult,Design,MBA,26,Practical,40,20-03-2024,19-08-2024,21-07-2024,9.05,Yes,No,2016,54,67,Lucas and Sons,621833,887876,2347438,1596512,Daniel Ltd,49,136,31,66341,1913,634,No,No,528,Yes,111,46,Yes,No,No,Yes,Stage Club,Weekly,No,Yes,79080,Lori Berg,7,No,No,Law,Face Engineering,Mission her only wind enjoy.,Effect thousand sure much fund TV.,Yes,Monthly,635,Papua New Guinea,Different,Yes,No,No,No,No,No,No,No,No,No
"Nguyen, Meadows and Gonzalez",North Pamelaburgh,California,109,NAAC,"Johnson, Frederick and Phelps University",1955,225,91,253,26,http://www.sanders-lawrence.com/,Law,12th Grade with 60%,None,,13-05-2024,01-07-2024,Management,OBC,1610,Offline,Photo,20-04-2024,10-07-2024,414048,87448,14880,7969,139731,Toward Scholarship,Merit-Based,72689,No,No,Ramirez Inc,Net Banking,5,Long,Still,PhD,14,Practical,36,15-04-2024,26-01-2024,14-06-2024,7.27,Yes,Yes,2010,70,74,"Singleton, Flynn and Parrish",767343,1476148,2932567,1428341,Valentine-Snyder,81,111,35,28171,8874,1803,Yes,Yes,337,No,107,33,No,Yes,Yes,Yes,Vote Club,Monthly,No,No,80483,William Johnson,8,No,Yes,Business,Remain Engineering,While including gas ability past price letter.,Direction since peace purpose fact election.,No,Weekly,325,United States Virgin Islands,Different,No,No,Yes,Yes,No,Yes,No,No,No,Yes
"Ochoa, Smith and Erickson",Lake Edward,Connecticut,189,NBA,Miller-Ryan University,1980,413,481,162,37,https://richard-gutierrez.com/,Engineering,Entrance Exam,NEET,,10-08-2024,23-08-2024,General,SC,1476,Offline,ID Proof,15-06-2024,30-07-2024,396615,31068,48370,12789,319916,So Scholarship,Category-Based,23407,Yes,Yes,"Byrd, Ochoa and Mayer",UPI,4,Give,Space,MSc,6,Online,26,20-08-2024,30-05-2024,24-07-2024,8.3,No,Yes,2022,71,55,Nelson-Jenkins,1462536,1330782,1962889,996792,Small LLC,34,157,18,12143,4967,1571,Yes,No,676,No,144,10,Yes,Yes,Yes,Yes,Herself Club,Weekly,No,Yes,25702,Kathleen Brown,9,No,No,Civil,Rate Engineering,Edge necessary yeah gun half.,Simply sister child less rate offer.,Yes,Monthly,27,Saint Barthelemy,Similar,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Solis-James,New Robert,Vermont,180,UGC,"Smith, Mitchell and Barnes University",1976,223,585,55,39,https://www.nunez.com/,Business,Entrance Exam,None,92,10-05-2024,03-02-2024,General,OBC,876,Offline,ID Proof,23-07-2024,21-01-2024,459927,59149,42115,10930,472556,Strong Scholarship,Merit-Based,84227,No,No,Baker-Hansen,Credit Card,5,Ground,Eight,PhD,32,Project-Based,72,31-07-2024,07-08-2024,19-02-2024,9.33,No,Yes,2015,61,70,"Young, Holden and King",876070,1498146,1175825,1571196,Donovan LLC,77,178,33,66443,1296,1323,No,Yes,1220,No,103,22,No,Yes,No,No,Discussion Club,Yearly,No,No,29256,Alex Beasley,3,Yes,Yes,Mechanical,Crime Engineering,Face company business edge yard figure of.,Society magazine goal memory.,Yes,Monthly,306,Namibia,Different,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No
Mitchell-Acosta,Crystalborough,Georgia,179,UGC,Gomez-Walters University,2006,325,742,217,32,http://www.martin-baker.com/,Science,Graduation with 55%,None,94,23-02-2024,21-06-2024,Reserved,SC,1960,Offline,Address Proof,17-03-2024,13-03-2024,142296,37837,39518,7178,258421,Specific Scholarship,Category-Based,33811,Yes,Yes,Black-Byrd,Debit Card,2,Example,Shake,MTech,34,Project-Based,92,25-04-2024,29-04-2024,16-05-2024,9.81,No,No,2020,68,93,"Spencer, Cooper and Allen",918356,1158943,1880155,806335,"Martinez, Morton and Archer",61,152,9,35600,3903,1859,Yes,No,957,No,463,46,Yes,Yes,Yes,Yes,Over Club,Yearly,Yes,No,9955,William Reed,7,No,No,Mechanical,Black Engineering,Senior page race difficult answer common.,Soon friend maintain sit recognize.,Yes,Weekly,837,Somalia,Different,No,Yes,No,No,Yes,Yes,No,No,No,Yes
Reynolds-Cole,Brownmouth,Kentucky,169,AICTE,Gardner-Arnold University,1971,341,758,263,43,http://barnes-yoder.com/,Business,Entrance Exam,None,,31-01-2024,18-06-2024,Management,ST,1789,Online,ID Proof,11-07-2024,24-06-2024,424132,39894,27912,7305,558046,Budget Scholarship,Category-Based,66799,No,No,Perez Inc,UPI,5,Radio,Return,MSc,7,Lectures,76,11-03-2024,19-05-2024,24-04-2024,7.52,No,No,2015,79,62,Hunt LLC,1178492,1226872,558495,815611,Ray-Miller,33,110,32,25075,5515,1669,No,No,616,No,358,3,No,No,No,Yes,Painting Club,Monthly,No,No,30529,Ernest Watts,9,No,No,Computer Science,Part Engineering,Short tonight discussion well she yeah international site.,Billion statement among.,Yes,Monthly,128,Algeria,Different,No,Yes,No,Yes,Yes,Yes,No,No,No,No
"Patterson, Carr and Martinez",Barrside,Texas,73,NBA,Jones LLC University,2009,203,982,368,16,https://www.sanchez.org/,Arts,Graduation with 55%,NEET,94,10-02-2024,05-08-2024,Reserved,General,1420,Online,ID Proof,14-06-2024,03-08-2024,61283,42527,39398,18934,260152,Mission Scholarship,Merit-Based,27737,No,No,Ward and Sons,UPI,3,Himself,Result,MTech,18,Practical,84,27-04-2024,31-01-2024,20-07-2024,9.18,No,No,2013,65,56,Jacobson Ltd,699817,1228166,1162676,908569,Mitchell-Roberts,75,199,35,27183,3612,154,No,No,1190,Yes,240,8,Yes,No,Yes,Yes,Garden Club,Weekly,Yes,Yes,23573,Nichole Murphy,9,Yes,Yes,Civil,Former Engineering,Very word contain feel thus financial.,Season table dark issue blood weight leader.,No,Monthly,920,Saint Martin,Similar,No,No,Yes,No,No,No,No,No,No,No
Miller-Miller,Lake Nathaniel,North Dakota,119,NAAC,Blake and Sons University,2019,394,115,192,32,https://www.griffith.info/,Science,12th Grade with 60%,NEET,89,30-03-2024,11-01-2024,Management,SC,1825,Offline,Photo,15-03-2024,21-04-2024,375280,58296,35980,12417,278866,Article Scholarship,Need-Based,87454,Yes,Yes,Wright Ltd,Debit Card,3,Project,Hope,MBA,11,Practical,44,21-04-2024,05-03-2024,08-04-2024,8.39,No,No,2015,100,89,Vargas-Morse,533981,829379,785366,1330247,Mahoney-Harper,16,33,5,48865,2232,1917,No,Yes,1854,Yes,492,20,No,No,No,Yes,By Club,Yearly,Yes,Yes,13829,Crystal Mcclure,5,No,Yes,Computer Science,Late Engineering,Everyone reduce child.,Determine increase drive food.,No,Yearly,243,Afghanistan,Different,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Holland-Reynolds,Lake Marymouth,Utah,185,UGC,Jimenez LLC University,1985,220,361,187,49,https://www.carter.com/,Law,12th Grade with 60%,JEE,72,30-04-2024,22-03-2024,Management,General,1986,Offline,Address Proof,22-04-2024,26-01-2024,411518,79150,34669,13738,81887,Face Scholarship,Need-Based,14707,No,No,Conway-Kennedy,Credit Card,5,Plant,Maybe,MBA,19,Online,63,14-01-2024,26-08-2024,11-01-2024,7.95,Yes,Yes,2012,93,98,Anderson and Sons,399003,1339604,1109721,2430948,Miller Inc,31,176,36,38641,1130,671,Yes,No,1527,No,471,22,Yes,No,Yes,Yes,Woman Club,Weekly,Yes,Yes,86666,Brandon Berry,7,Yes,Yes,Electrical,Might Engineering,Point produce may blue still writer energy.,There window case many home.,Yes,Weekly,332,Azerbaijan,Similar,Yes,Yes,Yes,No,No,No,Yes,No,No,No
Singh-Hunter,Angelashire,Mississippi,50,NAAC,"Riley, Li and Terrell University",1996,381,963,386,5,https://www.wu-torres.biz/,Business,Entrance Exam,NEET,,30-07-2024,02-04-2024,Reserved,OBC,1176,Offline,Address Proof,08-02-2024,27-02-2024,336063,32930,11011,13368,311178,School Scholarship,Category-Based,87516,No,Yes,Clay-Mcclain,Net Banking,3,Network,Own,MTech,11,Project-Based,86,31-05-2024,10-06-2024,20-02-2024,8.55,No,Yes,2017,82,73,Sheppard-Jones,1488690,1205311,2742584,2832248,"Delgado, Griffin and Mooney",52,46,28,41208,1297,1738,Yes,Yes,1044,Yes,464,10,No,No,Yes,Yes,Day Club,Weekly,Yes,No,64888,Joshua Russell,5,No,No,Arts,Once Engineering,Character threat rock TV debate.,Mrs every center others.,Yes,Monthly,91,United States Minor Outlying Islands,Different,No,No,No,No,Yes,Yes,Yes,No,No,Yes
Alvarez-Patterson,Stevenchester,North Carolina,14,UGC,Brown-Sanders University,2009,241,418,135,23,http://andrews-hale.com/,Science,12th Grade with 60%,None,73,16-06-2024,23-07-2024,Reserved,General,1925,Online,Marksheet,20-06-2024,17-01-2024,233682,61793,30904,16009,545770,Look Scholarship,Merit-Based,93505,No,No,Kent-Bartlett,Credit Card,3,Close,Truth,MTech,26,Lectures,90,12-01-2024,09-01-2024,06-01-2024,8.46,No,Yes,2022,55,65,Jones LLC,663716,440574,1843046,1294561,Jackson LLC,83,20,16,31693,8501,1663,No,No,238,Yes,455,40,Yes,Yes,No,Yes,Mr Club,Monthly,Yes,No,70244,Nathan Morse,9,No,No,Mechanical,Improve Engineering,Production sense college wide listen child price beat.,Top occur one question.,Yes,Weekly,574,United States of America,Different,No,No,No,Yes,No,Yes,Yes,No,No,No
"Berger, Franklin and Sullivan",Port Timothy,Oregon,174,AICTE,Wilson and Sons University,1976,431,105,170,40,http://hall.com/,Law,12th Grade with 60%,JEE,84,01-04-2024,08-01-2024,General,OBC,1883,Online,Address Proof,22-04-2024,09-03-2024,173474,78736,46109,15693,310924,Be Scholarship,Merit-Based,29538,No,Yes,Lee LLC,Net Banking,5,Republican,Down,PhD,40,Online,31,04-03-2024,07-02-2024,17-08-2024,8.86,No,Yes,2021,79,80,"Sandoval, Jenkins and Harris",610604,524042,770144,2563322,Short-King,24,182,23,92612,3885,342,Yes,Yes,551,Yes,275,16,Yes,Yes,No,No,However Club,Weekly,Yes,No,59694,Travis Hall,6,No,No,Arts,Huge Engineering,Whether like professor.,Detail magazine authority.,Yes,Monthly,184,Isle of Man,Different,Yes,No,No,Yes,Yes,No,No,Yes,No,No
Chen-Butler,Williamtown,Louisiana,93,NBA,Howard-Robles University,1951,343,435,410,18,https://www.benson-phelps.info/,Business,Graduation with 55%,SAT,73,24-03-2024,28-03-2024,Reserved,ST,993,Offline,Photo,22-05-2024,04-01-2024,369391,59974,32948,14942,233096,Pm Scholarship,Merit-Based,23262,Yes,Yes,Burgess LLC,Debit Card,2,Method,Sell,MTech,22,Lectures,53,28-01-2024,01-01-2024,20-08-2024,7.05,Yes,No,2012,98,70,Morales Inc,844221,694457,905127,1357800,"Carter, Cook and Alvarez",13,191,36,48298,5086,189,Yes,No,1568,Yes,275,22,Yes,No,No,No,Like Club,Yearly,No,Yes,54494,Jamie Fuller,5,Yes,Yes,Computer Science,Inside Engineering,Off popular wrong newspaper stop.,Free mouth provide teach wrong.,Yes,Yearly,436,Haiti,Different,Yes,No,No,Yes,No,No,Yes,No,No,Yes
"Newton, Daniel and Martin",Julieview,Washington,175,NBA,Hamilton Ltd University,2003,237,159,375,49,http://www.nelson.net/,Engineering,Entrance Exam,NEET,70,11-01-2024,24-07-2024,Management,OBC,1145,Online,Address Proof,05-07-2024,04-02-2024,63722,42862,38931,10449,71850,Above Scholarship,Category-Based,29946,Yes,Yes,Jones Group,UPI,2,Rate,Shake,PhD,3,Project-Based,88,25-01-2024,16-08-2024,29-06-2024,6.51,Yes,No,2016,67,57,Cox LLC,1152324,1376944,1065115,2907191,"Padilla, Calhoun and Bradford",50,93,21,98232,9708,1263,No,No,871,Yes,381,6,Yes,No,No,Yes,Party Club,Weekly,No,Yes,46851,Rachel Bennett,10,No,No,Civil,Computer Engineering,Particularly tonight eye defense agency.,Bar reality risk just worker.,Yes,Yearly,611,Palau,Different,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"Bryant, Whitehead and Ali",North Mary,Utah,38,UGC,"Lopez, Lopez and Lynn University",1958,150,621,291,17,https://walsh-fuller.com/,Arts,Graduation with 55%,None,50,03-02-2024,01-03-2024,Reserved,SC,1393,Online,Marksheet,25-01-2024,04-05-2024,401083,54349,45704,6457,542677,Even Scholarship,Need-Based,33860,No,No,Stewart-Johnson,Debit Card,3,Already,Next,PhD,7,Lectures,85,21-02-2024,09-08-2024,12-02-2024,7.82,Yes,Yes,2013,78,62,Vang-Wallace,622380,324054,1298787,2636420,Bailey and Sons,31,104,41,10922,6580,521,No,Yes,1574,Yes,377,28,No,Yes,Yes,No,Color Club,Weekly,No,No,5285,Cindy Stewart,3,Yes,No,Computer Science,Rise Engineering,Military push impact whom door at recent.,True out positive.,Yes,Monthly,833,Malawi,Different,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
"Hicks, Nash and Andrews",Jenniferburgh,Hawaii,26,UGC,"Lewis, Small and Williams University",1954,46,479,241,28,http://www.paul-santos.net/,Science,12th Grade with 60%,JEE,100,15-06-2024,27-05-2024,Reserved,ST,1945,Offline,Marksheet,27-04-2024,06-05-2024,302723,74944,20451,6807,415732,Impact Scholarship,Category-Based,29827,Yes,No,Harris-Newton,Debit Card,3,Leader,Recent,PhD,26,Project-Based,73,26-02-2024,04-04-2024,17-03-2024,6.32,No,Yes,2019,94,98,"Smith, Fischer and Nunez",864830,409692,2026013,1439211,Reynolds Inc,44,17,19,40071,4566,943,Yes,Yes,820,No,326,43,No,No,No,Yes,How Club,Monthly,Yes,No,88893,Maria Velazquez,1,Yes,Yes,Mechanical,Cut Engineering,Before program left save hear nation glass.,Area teacher health economy.,Yes,Yearly,557,Belize,Different,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No
